Sub  Trial   Group    Task  Block  Errors      Stimuli      ManEst        RT   G12ManEst FGApApproved
  1     62 MPGE-SL  ManEst      2       7          D1A       54.84        856.66    370.00       33.04            1
  1     63 MPGE-SL  ManEst      2       7          D1B       55.58        805.08    300.00       33.78            1
  1     64 MPGE-SL  ManEst      2       7          D1B       57.03        898.59    405.00       35.23            1
  1     65 MPGE-SL  ManEst      3       7          D2B       57.30       1154.45    510.00       34.93            1
  1     66 MPGE-SL  ManEst      3       7          D2B       56.74       1015.48    465.00       34.38            1
  1     67 MPGE-SL  ManEst      3       7          D1A       54.52       1184.43    620.00       32.15            1
  1     68 MPGE-SL  ManEst      3       7          D1B       57.97        905.52    355.00       35.60            1
  1     69 MPGE-SL  ManEst      3       8          D1B       54.47        930.53    325.00       32.10            1
  1     70 MPGE-SL  ManEst      3       8          D2A       53.53       1228.40    650.00       31.16            1
  1     71 MPGE-SL  ManEst      3       8          D1A       55.48        939.59    345.00       33.12            1
  1     72 MPGE-SL  ManEst      3       9          D2B       55.18        798.60    305.00       32.82            1
  1     73 MPGE-SL  ManEst      3       9          D2A       55.81        901.61    305.00       33.45            1
  1     74 MPGE-SL  ManEst      3       9          D2A       56.22       1061.53    605.00       33.85            1
  1     75 MPGE-SL  ManEst      3       9          D2A       55.63        923.56    365.00       33.26            1
  1     76 MPGE-SL  ManEst      3       9          D2B       55.80        991.50    405.00       33.43            1
  1     77 MPGE-SL  ManEst      3       9          D2A       60.32       1099.47    370.00       37.96            1
  1     78 MPGE-SL  ManEst      3      10          D1A       56.35       1029.54    385.00       33.98            1
  1     79 MPGE-SL  ManEst      3      10          D2B       56.37       1087.41    375.00       34.00            1
  1     80 MPGE-SL  ManEst      3      10          D2B       55.43       1162.43    375.00       33.06            1
  1     81 MPGE-SL  ManEst      3      10          D1B       55.68        799.67    270.00       33.31            1
  1     82 MPGE-SL  ManEst      3      10          D1B       53.51        796.59    295.00       31.15            1
  1     83 MPGE-SL  ManEst      3      10          D2A       55.11        936.46    480.00       32.74            1
  1     84 MPGE-SL  ManEst      3      10          D2B       56.12        836.61    375.00       33.75            1
  1     85 MPGE-SL  ManEst      3      10          D1A       53.63       1035.43    455.00       31.26            1
  1     86 MPGE-SL  ManEst      3      10          D1A       57.81        883.50    355.00       35.45            1
  1     87 MPGE-SL  ManEst      3      10          D2B       58.10        882.60    330.00       35.73            1
  1     88 MPGE-SL  ManEst      3      10          D2A       55.70        882.62    395.00       33.33            1
  1     89 MPGE-SL  ManEst      3      10          D2A       53.09        798.70    290.00       30.72            1
  1     90 MPGE-SL  ManEst      3      10          D1A       51.21        821.16    370.00       28.85            1
  1     91 MPGE-SL  ManEst      3      10          D1B       54.34        879.54    405.00       31.97            1
  1     92 MPGE-SL  ManEst      3      10          D1A       51.22        898.57    395.00       28.85            1
  1     93 MPGE-SL  ManEst      3      10          D1B       52.90        826.59    395.00       30.53            1
  1     94 MPGE-SL  ManEst      3      10          D1B       55.31       1072.49    605.00       32.94            1
  1     95 MPGE-SL  ManEst      3      10          D1B       59.76        814.66    350.00       37.40            1
  1     96 MPGE-SL  ManEst      3      10          D1A       56.24        719.74    280.00       33.88            1
  1     97 MPGE-SL  ManEst      4      13          D1B       59.90       1043.46    510.00       37.14            1
  1     98 MPGE-SL  ManEst      4      13          D2A       58.61       1113.35    400.00       35.86            1
  1     99 MPGE-SL  ManEst      4      13          D2B       61.61        976.52    445.00       38.85            1
  1    100 MPGE-SL  ManEst      4      13          D2B       58.55        857.51    320.00       35.80            1
  1    101 MPGE-SL  ManEst      4      13          D1B       59.78        980.52    435.00       37.02            1
  1    102 MPGE-SL  ManEst      4      13          D2A       58.13        761.78    285.00       35.38            1
  1    103 MPGE-SL  ManEst      4      13          D2B       60.12        778.67    310.00       37.37            1
  1    104 MPGE-SL  ManEst      4      13          D1B       57.04        775.63    260.00       34.29            1
  1    105 MPGE-SL  ManEst      4      13          D1A       60.48        972.47    310.00       37.73            1
  1    106 MPGE-SL  ManEst      4      13          D2A       57.60        800.61    320.00       34.85            1
  1    107 MPGE-SL  ManEst      4      13          D1A       54.15        751.65    270.00       31.40            1
  1    108 MPGE-SL  ManEst      4      13          D1A       49.20        944.52    480.00       26.45            1
  1    109 MPGE-SL  ManEst      4      14          D1A       52.94        677.72    300.00       30.19            1
  1    110 MPGE-SL  ManEst      4      15          D1B       51.83        903.51    405.00       29.08            1
  1    111 MPGE-SL  ManEst      4      15          D2A       55.17        779.65    345.00       32.42            1
  1    112 MPGE-SL  ManEst      4      15          D1B       55.14        807.56    295.00       32.39            1
  1    113 MPGE-SL  ManEst      4      15          D2B       53.68        823.67    400.00       30.93            1
  1    114 MPGE-SL  ManEst      4      16          D2B       57.80        755.67    330.00       35.05            1
  1    115 MPGE-SL  ManEst      4      16          D2A       56.88        710.63    320.00       34.13            1
  1    116 MPGE-SL  ManEst      4      16          D2A       55.73       1086.46    600.00       32.97            1
  1    117 MPGE-SL  ManEst      4      16          D2A       58.00        773.67    295.00       35.25            1
  1    118 MPGE-SL  ManEst      4      16          D1A       56.33        783.64    300.00       33.58            1
  1    119 MPGE-SL  ManEst      4      16          D1B       53.01        822.64    390.00       30.25            1
  1    120 MPGE-SL  ManEst      4      18          D2B       55.05       1147.46    615.00       32.30            1
  1    121 MPGE-SL  ManEst      4      18          D1B       55.63       1063.18    595.00       32.88            1
  1    122 MPGE-SL  ManEst      4      18          D1B       56.32        924.63    420.00       33.57            1
  1    123 MPGE-SL  ManEst      4      18          D1A       57.73        833.12    350.00       34.98            1
  1    124 MPGE-SL  ManEst      4      18          D2A       55.57        845.61    380.00       32.82            1
  1    125 MPGE-SL  ManEst      4      18          D1A       59.21        818.62    330.00       36.46            1
  1    126 MPGE-SL  ManEst      4      18          D2B       61.87        732.64    280.00       39.12            1
  1    127 MPGE-SL  ManEst      4      18          D2B       54.87        722.03    320.00       32.12            1
  1    128 MPGE-SL  ManEst      4      18          D1A       54.89        730.70    315.00       32.14            1
  2      1 MGPE-SL  ManEst      1       0          D2A       61.04       1191.95    470.00       43.23            1
  2      2 MGPE-SL  ManEst      1       0          D2A       59.36       1206.31    385.00       41.55            1
  2      3 MGPE-SL  ManEst      1       0          D1B       59.64       1104.44    425.00       41.83            1
  2      4 MGPE-SL  ManEst      1       0          D2B       57.13        941.41    345.00       39.32            1
  2      5 MGPE-SL  ManEst      1       0          D1B       56.31        985.49    485.00       38.49            1
