Sub  Trial   Group    Task  Block  Errors      Stimuli      ManEst        RT
  1     96  PMG-SL  ManEst      3      20          D2A       60.65    255.00
  1     97  PMG-SL  ManEst      4      20          D2B       57.06    295.00
  1     98  PMG-SL  ManEst      4      20          D2B       56.87    255.00
  1     99  PMG-SL  ManEst      4      20          D2B       57.70    305.00
  1    100  PMG-SL  ManEst      4      20          D2A       63.66    250.00
  1    101  PMG-SL  ManEst      4      20          D2A       59.53    245.00
  1    102  PMG-SL  ManEst      4      20          D1A       58.42    180.00
  1    103  PMG-SL  ManEst      4      20          D1A       57.23    255.00
  1    104  PMG-SL  ManEst      4      20          D2A       58.95    285.00
  1    105  PMG-SL  ManEst      4      20          D1A       56.92    340.00
  1    106  PMG-SL  ManEst      4      20          D2A       58.16    275.00
  1    107  PMG-SL  ManEst      4      20          D1A       57.47    285.00
  1    108  PMG-SL  ManEst      4      20          D2A       56.50    315.00
  1    109  PMG-SL  ManEst      4      20          D1B       54.43    290.00
  1    110  PMG-SL  ManEst      4      20          D2B       58.40    275.00
  1    111  PMG-SL  ManEst      4      20          D1B       55.05    290.00
  1    112  PMG-SL  ManEst      4      20          D2B       53.91    300.00
  1    113  PMG-SL  ManEst      4      20          D1B       56.62    440.00
  1    114  PMG-SL  ManEst      4      20          D2B       56.88    395.00
  1    115  PMG-SL  ManEst      4      20          D2B       54.66    410.00
  1    116  PMG-SL  ManEst      4      20          D2A       54.39    350.00
  1    117  PMG-SL  ManEst      4      20          D1B       55.52    275.00
  1    118  PMG-SL  ManEst      4      20          D1B       55.74    415.00
  1    119  PMG-SL  ManEst      4      20          D2A       55.08    330.00
  1    120  PMG-SL  ManEst      4      21          D1A       56.80    275.00
  1    121  PMG-SL  ManEst      4      21          D2B       58.92    280.00
  1    122  PMG-SL  ManEst      4      21          D1B       55.28    325.00
  1    123  PMG-SL  ManEst      4      21          D1B       57.81    240.00
  1    124  PMG-SL  ManEst      4      21          D1A       62.29    250.00
  1    125  PMG-SL  ManEst      4      21          D1A       54.52    420.00
  1    126  PMG-SL  ManEst      4      21          D1A       57.13    300.00
  1    127  PMG-SL  ManEst      4      21          D1B       58.45    390.00
  1    128  PMG-SL  ManEst      4      21          D2A       56.77    260.00
  2      1  PMG-SL  ManEst      1       0          D2A       52.81    285.00
  2      2  PMG-SL  ManEst      1       0          D1B       51.08    295.00
  2      3  PMG-SL  ManEst      1       0          D2B       51.38    290.00
  2      4  PMG-SL  ManEst      1       0          D2B       60.45    235.00
  2      5  PMG-SL  ManEst      1       0          D2B       50.04    255.00
  2      6  PMG-SL  ManEst      1       0          D1B       52.78    345.00
  2      7  PMG-SL  ManEst      1       0          D1B       50.10    320.00
  2      8  PMG-SL  ManEst      1       0          D2A       54.66    260.00
  2      9  PMG-SL  ManEst      1       0          D2A       49.26    270.00
  2     10  PMG-SL  ManEst      1       0          D2B       56.35    210.00
  2     11  PMG-SL  ManEst      1       0          D1A       52.36    215.00
  2     12  PMG-SL  ManEst      1       1          D2B       49.91    360.00
  2     13  PMG-SL  ManEst      1       1          D1A       52.52    395.00
  2     14  PMG-SL  ManEst      1       1          D1A       54.12    265.00
  2     15  PMG-SL  ManEst      1       1          D1A       56.54    295.00
  2     16  PMG-SL  ManEst      1       1          D2A       56.36    350.00
  2     17  PMG-SL  ManEst      1       1          D1B       55.37    270.00
  2     18  PMG-SL  ManEst      1       1          D1A       52.22    260.00
  2     19  PMG-SL  ManEst      1       1          D1B       53.10    310.00
  2     20  PMG-SL  ManEst      1       1          D1A       56.93    280.00
  2     21  PMG-SL  ManEst      1       1          D1B       56.02    385.00
  2     22  PMG-SL  ManEst      1       1          D1A       52.45    475.00
  2     23  PMG-SL  ManEst      1       1          D2B       48.86    530.00
  2     24  PMG-SL  ManEst      1       1          D1B       53.08    255.00
  2     25  PMG-SL  ManEst      1       1          D1B       57.72    280.00
  2     26  PMG-SL  ManEst      1       1          D2B       54.79    225.00
  2     27  PMG-SL  ManEst      1       1          D2A       57.73    215.00
  2     28  PMG-SL  ManEst      1       1          D1A       49.71    240.00
  2     29  PMG-SL  ManEst      1       1          D2A       54.44    300.00
  2     30  PMG-SL  ManEst      1       1          D2A       54.76    225.00
  2     31  PMG-SL  ManEst      1       1          D2B       50.26    260.00
  2     32  PMG-SL  ManEst      1       1          D2A       52.91    335.00
  2     33  PMG-SL  ManEst      2       1          D2B       53.26    290.00
  2     34  PMG-SL  ManEst      2       1          D1A       57.53    330.00
  2     35  PMG-SL  ManEst      2       1          D1A       53.22    260.00
  2     36  PMG-SL  ManEst      2       1          D1B       55.72    340.00
  2     37  PMG-SL  ManEst      2       1          D2B       50.70    275.00
  2     38  PMG-SL  ManEst      2       1          D1B       50.99    330.00
  2     39  PMG-SL  ManEst      2       1          D1B       53.59    310.00
  2     40  PMG-SL  ManEst      2       1          D2B       57.17    380.00
  2     41  PMG-SL  ManEst      2       1          D1B       51.49    340.00
  2     42  PMG-SL  ManEst      2       1          D1B       49.84    305.00
