Sub  Trial   Group    Task  Block  Errors      Stimuli    MaxAp        RT  G12MaxAp
  1     86  PMG-SL   Grasp      3       3          D2B    74.92    320.00     57.74
  1     87  PMG-SL   Grasp      3       3          D1B    74.92    325.00     57.74
  1     88  PMG-SL   Grasp      3       3          D1A    75.38    260.00     58.19
  1     89  PMG-SL   Grasp      3       3          D1B    81.85    265.00     64.67
  1     90  PMG-SL   Grasp      3       3          D2A    78.56    185.00     61.38
  1     91  PMG-SL   Grasp      3       3          D1B    80.78    345.00     63.60
  1     92  PMG-SL   Grasp      3       3          D1B    78.40    330.00     61.22
  1     93  PMG-SL   Grasp      3       3          D1B    78.42    340.00     61.24
  1     94  PMG-SL   Grasp      3       3          D2A    81.33    235.00     64.14
  1     95  PMG-SL   Grasp      3       3          D2A    77.49    440.00     60.31
  1     96  PMG-SL   Grasp      3       3          D2B    86.00    410.00     68.81
  1     97  PMG-SL   Grasp      4       3          D2B    80.49    230.00     62.62
  1     98  PMG-SL   Grasp      4       3          D2B    79.90    225.00     62.02
  1     99  PMG-SL   Grasp      4       3          D2A    74.11    235.00     56.24
  1    100  PMG-SL   Grasp      4       3          D2A    80.11    185.00     62.24
  1    101  PMG-SL   Grasp      4       3          D1A    83.32    405.00     65.44
  1    102  PMG-SL   Grasp      4       3          D1A    76.35    350.00     58.47
  1    103  PMG-SL   Grasp      4       3          D2B    82.41    330.00     64.54
  1    104  PMG-SL   Grasp      4       3          D2A    81.08    340.00     63.21
  1    105  PMG-SL   Grasp      4       3          D2B    79.98    285.00     62.11
  1    106  PMG-SL   Grasp      4       3          D1A    79.63    345.00     61.76
  1    107  PMG-SL   Grasp      4       3          D1A    80.10    270.00     62.23
  1    108  PMG-SL   Grasp      4       3          D1A    77.30    255.00     59.43
  1    109  PMG-SL   Grasp      4       3          D1A    76.21    280.00     58.33
  1    110  PMG-SL   Grasp      4       3          D1B    71.67    325.00     53.80
  1    111  PMG-SL   Grasp      4       3          D1B    77.43    295.00     59.56
  1    112  PMG-SL   Grasp      4       3          D2A    72.41    325.00     54.54
  1    113  PMG-SL   Grasp      4       3          D2B    71.39    345.00     53.52
  1    114  PMG-SL   Grasp      4       3          D2A    85.34    110.00     67.47
  1    115  PMG-SL   Grasp      4       3          D1B    72.86    365.00     54.99
  1    116  PMG-SL   Grasp      4       3          D2B    71.62    260.00     53.74
  1    117  PMG-SL   Grasp      4       3          D2A    80.22    375.00     62.35
  1    118  PMG-SL   Grasp      4       3          D2A    74.04    350.00     56.17
  1    119  PMG-SL   Grasp      4       3          D2B    72.87    280.00     55.00
  1    120  PMG-SL   Grasp      4       3          D2A    72.37    495.00     54.49
  1    121  PMG-SL   Grasp      4       3          D1A    75.03    345.00     57.15
  1    122  PMG-SL   Grasp      4       3          D1B    78.01    310.00     60.14
  1    123  PMG-SL   Grasp      4       3          D1B    71.83    300.00     53.95
  1    124  PMG-SL   Grasp      4       3          D1B    73.70    300.00     55.83
  1    125  PMG-SL   Grasp      4       3          D1A    73.21    455.00     55.34
  1    126  PMG-SL   Grasp      4       3          D1B    85.59    310.00     67.72
  1    127  PMG-SL   Grasp      4       3          D2B    72.87    280.00     55.00
  1    128  PMG-SL   Grasp      4       3          D1B    70.41    230.00     52.54
  2      1  PMG-SL   Grasp      1       0          D2B    75.68    285.00     57.56
  2      2  PMG-SL   Grasp      1       0          D1B    68.23    315.00     50.11
  2      3  PMG-SL   Grasp      1       0          D1B    70.98    255.00     52.86
  2      4  PMG-SL   Grasp      1       0          D1A    73.64    250.00     55.53
  2      5  PMG-SL   Grasp      1       0          D1B    67.98    340.00     49.86
  2      6  PMG-SL   Grasp      1       0          D2A    70.07    300.00     51.96
  2      7  PMG-SL   Grasp      1       0          D2B    66.86    220.00     48.74
  2      8  PMG-SL   Grasp      1       0          D1A    66.70    310.00     48.58
  2      9  PMG-SL   Grasp      1       0          D2A    67.37    360.00     49.26
  2     10  PMG-SL   Grasp      1       0          D2A    63.65    380.00     45.53
  2     11  PMG-SL   Grasp      1       0          D2B    67.94    260.00     49.82
  2     12  PMG-SL   Grasp      1       0          D2A    65.42    235.00     47.30
  2     13  PMG-SL   Grasp      1       0          D1B    68.54    230.00     50.42
  2     14  PMG-SL   Grasp      1       0          D1B    66.81    375.00     48.69
  2     15  PMG-SL   Grasp      1       0          D2A    64.42    280.00     46.30
  2     16  PMG-SL   Grasp      1       0          D2B    66.03    315.00     47.91
  2     17  PMG-SL   Grasp      1       0          D1A    69.30    230.00     51.19
  2     18  PMG-SL   Grasp      1       0          D2B    70.27    235.00     52.16
  2     19  PMG-SL   Grasp      1       0          D1B    63.18    340.00     45.06
  2     20  PMG-SL   Grasp      1       0          D2B    68.10    300.00     49.98
  2     21  PMG-SL   Grasp      1       0          D2A    66.14    315.00     48.02
  2     22  PMG-SL   Grasp      1       0          D1A    65.52    375.00     47.40
  2     23  PMG-SL   Grasp      1       0          D1A    66.79    360.00     48.67
  2     24  PMG-SL   Grasp      1       0          D1A    66.37    325.00     48.26
  2     25  PMG-SL   Grasp      1       0          D2A    69.29    225.00     51.17
  2     26  PMG-SL   Grasp      1       0          D1A    65.45    365.00     47.33
  2     27  PMG-SL   Grasp      1       0          D2B    60.09    470.00     41.97
  2     28  PMG-SL   Grasp      1       0          D1B    67.47    465.00     49.35
  2     29  PMG-SL   Grasp      1       0          D2B    65.47    400.00     47.35
