Sub  Trial   Group    Task  Block  Errors      Stimuli      ManEst    ManEstTime    G12FGAp        RT       MT    GGManEst    GGManEstTime      GGRT
  1     54  PMG-SL  ManEst      2      13          D2A       57.25       1544.00      58.68    475.00  1069.00       60.82         1015.00    445.00
  1     55  PMG-SL  ManEst      2      13          D2A       58.32       1576.07      57.83    340.00  1236.07       53.60          850.00    340.00
  1     56  PMG-SL  ManEst      2      13          D1B       57.18       1469.10      57.68    410.00  1059.10       57.30          985.00    390.00
  1     57  PMG-SL  ManEst      2      13          D2B       55.45       1403.25      58.04    260.00  1143.25       56.61          985.00    270.00
  1     58  PMG-SL  ManEst      2      13          D2B       57.20       1452.19      58.00    255.00  1197.19       59.13         1055.00    270.00
  1     59  PMG-SL  ManEst      2      13          D1B       56.17       1181.34      57.98    355.00   826.34       60.95          795.00    340.00
  1     60  PMG-SL  ManEst      2      13          D1A       54.07       1456.19      58.77    250.00  1206.19       57.60         1005.00    245.00
  1     61  PMG-SL  ManEst      2      13          D1B       55.71       1506.04      57.67    250.00  1256.04       55.60          960.00    260.00
  1     62  PMG-SL  ManEst      2      14          D2B       55.78       1374.97      59.14    320.00  1054.97       56.65         1220.00    275.00
  1     63  PMG-SL  ManEst      2      14          D2B       58.64       1536.18      58.74    315.00  1221.18       58.27          840.00    300.00
  1     64  PMG-SL  ManEst      2      14          D1A       59.13       1485.11      58.57    365.00  1120.11       61.06         1145.00    425.00
  1     65  PMG-SL  ManEst      3      15          D2B       58.46        958.48      58.69    215.00   743.48       61.47          790.00    200.00
  1     66  PMG-SL  ManEst      3      16          D2B       62.62       1107.44      59.08    245.00   862.44       64.76          675.00    250.00
  1     67  PMG-SL  ManEst      3      16          D1B       57.71       1655.95      56.21    515.00  1140.95       59.02         1520.00    490.00
  1     68  PMG-SL  ManEst      3      16          D1A       58.73       1163.41      58.16    285.00   878.41       60.98          865.00    260.00
  1     69  PMG-SL  ManEst      3      16          D1B       61.98       1463.17      59.04    295.00  1168.17       64.97          950.00    310.00
  1     70  PMG-SL  ManEst      3      16          D2B       59.13       1422.39      57.96    260.00  1162.39       60.55         1130.00    260.00
  1     71  PMG-SL  ManEst      3      16          D2B       57.88       1373.19      57.43    245.00  1128.19       58.51         1195.00    260.00
  1     72  PMG-SL  ManEst      3      16          D1A       60.78       1616.04      57.84    375.00  1241.04       61.19         1310.00    355.00
  1     73  PMG-SL  ManEst      3      16          D2A       58.43       1339.20      56.08    240.00  1099.20       58.91         1130.00    255.00
  1     74  PMG-SL  ManEst      3      16          D1A       60.83       1394.27      58.77    275.00  1119.27       61.96          735.00    270.00
  1     75  PMG-SL  ManEst      3      16          D1B       58.85       1529.21      59.32    290.00  1239.21       60.96         1045.00    260.00
  1     76  PMG-SL  ManEst      3      17          D1A       60.84       1287.33      58.10    310.00   977.33       63.11          775.00    290.00
