Sub  Trial   Group    Task  Block  Errors      Stimuli    MaxAp     MaxApTime       G12FGAp        RT  TouchedAp  TouchedTime       GGRT
  1     59  PMG-SL   Grasp      2       3          D1B    72.11        975.00         58.06    410.00      70.89      1015.00     405.00
  1     60  PMG-SL   Grasp      2       3          D1B    72.11       1000.00         58.54    615.00      72.00      1015.00     620.00
  1     61  PMG-SL   Grasp      2       3          D1B    72.74       1400.00         56.92   1090.00      72.04      1420.00    1080.00
  1     62  PMG-SL   Grasp      2       3          D1B    69.79        725.00         57.93    285.00      69.76       730.00     275.00
  1     63  PMG-SL   Grasp      2       3          D1B    73.32        990.00         57.88    465.00      72.93      1020.00     430.00
  1     64  PMG-SL   Grasp      2       3          D1A    78.15       1010.00         55.89    630.00      77.48      1085.00     600.00
  1     65  PMG-SL   Grasp      3       3          D2B    85.06        820.00         57.06    290.00      85.04       825.00     295.00
  1     66  PMG-SL   Grasp      3       3          D1A    80.57        705.00         56.65    265.00      78.78       750.00     245.00
  1     67  PMG-SL   Grasp      3       3          D1B    81.84        655.00         57.44    260.00      81.79       660.00     265.00
  1     68  PMG-SL   Grasp      3       3          D2B    83.92        685.00         57.18    235.00      83.92       685.00     220.00
  1     69  PMG-SL   Grasp      3       3          D2A    75.27        565.00         58.47    235.00      72.59       655.00     245.00
  1     70  PMG-SL   Grasp      3       3          D2B    80.64        785.00         56.72    240.00      72.08       900.00     220.00
  1     71  PMG-SL   Grasp      3       3          D2A    75.87        895.00         57.79    505.00      75.79       900.00     485.00
  1     72  PMG-SL   Grasp      3       3          D2B    77.10        655.00         57.94    305.00      76.36       740.00     295.00
  1     73  PMG-SL   Grasp      3       3          D2A    80.72        650.00         58.30    280.00      80.27       665.00     260.00
  1     74  PMG-SL   Grasp      3       3          D1A    75.77        745.00         56.32    270.00      75.77       745.00     260.00
  1     75  PMG-SL   Grasp      3       3          D1A    64.29        645.00         56.42    280.00      64.29       645.00     285.00
  1     76  PMG-SL   Grasp      3       3          D1B    69.64        600.00         57.29    215.00      69.64       600.00     245.00
  1     77  PMG-SL   Grasp      3       3          D1A    78.91        720.00         57.46    305.00      78.91       720.00     285.00
  1     78  PMG-SL   Grasp      3       3          D1A    76.94        860.00         57.61    465.00      76.94       860.00     465.00
  1     79  PMG-SL   Grasp      3       3          D1B    76.38        580.00         56.79    220.00      76.38       580.00     220.00
  1     80  PMG-SL   Grasp      3       3          D1A    79.30        850.00         56.49    400.00      79.30       850.00     395.00
  1     81  PMG-SL   Grasp      3       3          D2A    78.36        745.00         57.22    285.00      78.36       745.00     285.00
  1     82  PMG-SL   Grasp      3       3          D2B    80.47        795.00         56.30    345.00      79.07       860.00     335.00
  1     83  PMG-SL   Grasp      3       3          D2A    69.52        755.00         56.98    300.00      69.52       755.00     280.00
  1     84  PMG-SL   Grasp      3       3          D2B    72.41        735.00         56.92    280.00      72.41       735.00     295.00
  1     85  PMG-SL   Grasp      3       3          D1A    80.30        760.00         56.88    315.00      76.42       840.00     350.00
  1     86  PMG-SL   Grasp      3       3          D2B    73.28        805.00         57.66    320.00      73.28       805.00     320.00
  1     87  PMG-SL   Grasp      3       3          D1B    74.62        725.00         56.45    325.00      74.27       770.00     325.00
  1     88  PMG-SL   Grasp      3       3          D1A    75.38        680.00         56.52    260.00      74.98       700.00     255.00
  1     89  PMG-SL   Grasp      3       3          D1B    81.83        725.00         58.02    265.00      81.83       725.00     290.00
  1     90  PMG-SL   Grasp      3       3          D2A    78.56        600.00         58.09    185.00      76.62       660.00     195.00
  1     91  PMG-SL   Grasp      3       3          D1B    80.78        870.00         56.53    345.00      78.28       920.00     330.00
  1     92  PMG-SL   Grasp      3       3          D1B    78.40        765.00         57.18    330.00      78.18       780.00     290.00
  1     93  PMG-SL   Grasp      3       3          D1B    78.42        705.00         56.72    340.00      77.55       740.00     350.00
  1     94  PMG-SL   Grasp      3       3          D2A    81.33        670.00         55.98    235.00      80.84       700.00     230.00
  1     95  PMG-SL   Grasp      3       3          D2A    77.49        900.00         57.63    440.00      77.30       920.00     440.00
  1     96  PMG-SL   Grasp      3       3          D2B    85.03        840.00         58.87    410.00      85.03       840.00     405.00
  1     97  PMG-SL   Grasp      4       3          D2B    80.49        700.00         57.63    230.00      79.24       800.00     235.00
  1     98  PMG-SL   Grasp      4       3          D2B    79.90        655.00         59.74    225.00      79.33       750.00     205.00
  1     99  PMG-SL   Grasp      4       3          D2A    74.11        680.00         58.24    235.00      70.48       785.00     235.00
  1    100  PMG-SL   Grasp      4       3          D2A    80.11        760.00         58.68    185.00      78.98       800.00     150.00
  1    101  PMG-SL   Grasp      4       3          D1A    82.50        850.00         58.54    405.00      82.50       850.00     385.00
  1    102  PMG-SL   Grasp      4       3          D1A    76.32        880.00         58.82    350.00      76.32       880.00     340.00
