Sub  Trial   Group    Task  Block  Errors      Stimuli      ManEst        RT   G12ManEst
  1     86  PMG-SL  ManEst      3      17          D1A       56.08    330.00       38.09
  1     87  PMG-SL  ManEst      3      17          D1B       56.38    255.00       38.39
  1     88  PMG-SL  ManEst      3      17          D1A       58.33    405.00       40.34
  1     89  PMG-SL  ManEst      3      17          D2B       56.61    355.00       38.61
  1     90  PMG-SL  ManEst      3      17          D2A       55.79    475.00       37.79
  1     91  PMG-SL  ManEst      3      17          D1B       56.30    365.00       38.31
  1     92  PMG-SL  ManEst      3      17          D2A       55.50    730.00       37.50
  1     93  PMG-SL  ManEst      3      19          D2B       54.21    370.00       36.22
  1     94  PMG-SL  ManEst      3      19          D1A       54.62    290.00       36.62
  1     95  PMG-SL  ManEst      3      19          D2A       54.01    435.00       36.02
  1     96  PMG-SL  ManEst      3      20          D2A       60.65    255.00       42.65
  1     97  PMG-SL  ManEst      4      20          D2B       57.06    295.00       39.81
  1     98  PMG-SL  ManEst      4      20          D2B       56.87    255.00       39.62
  1     99  PMG-SL  ManEst      4      20          D2B       57.70    305.00       40.45
  1    100  PMG-SL  ManEst      4      20          D2A       63.66    250.00       46.40
  1    101  PMG-SL  ManEst      4      20          D2A       59.53    245.00       42.28
  1    102  PMG-SL  ManEst      4      20          D1A       58.42    180.00       41.17
  1    103  PMG-SL  ManEst      4      20          D1A       57.23    255.00       39.98
  1    104  PMG-SL  ManEst      4      20          D2A       58.95    285.00       41.70
  1    105  PMG-SL  ManEst      4      20          D1A       56.92    340.00       39.67
  1    106  PMG-SL  ManEst      4      20          D2A       58.16    275.00       40.90
  1    107  PMG-SL  ManEst      4      20          D1A       57.47    285.00       40.22
  1    108  PMG-SL  ManEst      4      20          D2A       56.50    315.00       39.25
  1    109  PMG-SL  ManEst      4      20          D1B       54.43    290.00       37.17
  1    110  PMG-SL  ManEst      4      20          D2B       58.40    275.00       41.15
  1    111  PMG-SL  ManEst      4      20          D1B       55.05    290.00       37.80
  1    112  PMG-SL  ManEst      4      20          D2B       53.91    300.00       36.66
  1    113  PMG-SL  ManEst      4      20          D1B       56.62    440.00       39.37
  1    114  PMG-SL  ManEst      4      20          D2B       56.88    395.00       39.62
  1    115  PMG-SL  ManEst      4      20          D2B       54.66    410.00       37.40
  1    116  PMG-SL  ManEst      4      20          D2A       54.39    350.00       37.14
  1    117  PMG-SL  ManEst      4      20          D1B       55.52    275.00       38.26
  1    118  PMG-SL  ManEst      4      20          D1B       55.74    415.00       38.49
  1    119  PMG-SL  ManEst      4      20          D2A       55.08    330.00       37.83
  1    120  PMG-SL  ManEst      4      21          D1A       56.80    275.00       39.55
  1    121  PMG-SL  ManEst      4      21          D2B       58.92    280.00       41.67
  1    122  PMG-SL  ManEst      4      21          D1B       55.28    325.00       38.03
  1    123  PMG-SL  ManEst      4      21          D1B       57.81    240.00       40.55
  1    124  PMG-SL  ManEst      4      21          D1A       62.29    250.00       45.04
  1    125  PMG-SL  ManEst      4      21          D1A       54.52    420.00       37.26
  1    126  PMG-SL  ManEst      4      21          D1A       57.13    300.00       39.88
  1    127  PMG-SL  ManEst      4      21          D1B       58.45    390.00       41.20
  1    128  PMG-SL  ManEst      4      21          D2A       56.77    260.00       39.52
  2      1  PMG-SL  ManEst      1       0          D2A       52.81    285.00       33.65
  2      2  PMG-SL  ManEst      1       0          D1B       51.08    295.00       31.91
  2      3  PMG-SL  ManEst      1       0          D2B       51.38    290.00       32.22
  2      4  PMG-SL  ManEst      1       0          D2B       60.45    235.00       41.28
  2      5  PMG-SL  ManEst      1       0          D2B       50.04    255.00       30.87
  2      6  PMG-SL  ManEst      1       0          D1B       52.78    345.00       33.61
  2      7  PMG-SL  ManEst      1       0          D1B       50.10    320.00       30.93
  2      8  PMG-SL  ManEst      1       0          D2A       54.66    260.00       35.49
  2      9  PMG-SL  ManEst      1       0          D2A       49.26    270.00       30.09
  2     10  PMG-SL  ManEst      1       0          D2B       56.35    210.00       37.19
  2     11  PMG-SL  ManEst      1       0          D1A       52.36    215.00       33.19
  2     12  PMG-SL  ManEst      1       1          D2B       49.91    360.00       30.74
  2     13  PMG-SL  ManEst      1       1          D1A       52.52    395.00       33.35
  2     14  PMG-SL  ManEst      1       1          D1A       54.12    265.00       34.95
  2     15  PMG-SL  ManEst      1       1          D1A       56.54    295.00       37.38
  2     16  PMG-SL  ManEst      1       1          D2A       56.36    350.00       37.19
  2     17  PMG-SL  ManEst      1       1          D1B       55.37    270.00       36.20
  2     18  PMG-SL  ManEst      1       1          D1A       52.22    260.00       33.06
  2     19  PMG-SL  ManEst      1       1          D1B       53.10    310.00       33.94
  2     20  PMG-SL  ManEst      1       1          D1A       56.93    280.00       37.76
  2     21  PMG-SL  ManEst      1       1          D1B       56.02    385.00       36.86
  2     22  PMG-SL  ManEst      1       1          D1A       52.45    475.00       33.29
  2     23  PMG-SL  ManEst      1       1          D2B       48.86    530.00       29.70
  2     24  PMG-SL  ManEst      1       1          D1B       53.08    255.00       33.92
  2     25  PMG-SL  ManEst      1       1          D1B       57.72    280.00       38.55
  2     26  PMG-SL  ManEst      1       1          D2B       54.79    225.00       35.62
  2     27  PMG-SL  ManEst      1       1          D2A       57.73    215.00       38.56
  2     28  PMG-SL  ManEst      1       1          D1A       49.71    240.00       30.54
  2     29  PMG-SL  ManEst      1       1          D2A       54.44    300.00       35.27
  2     30  PMG-SL  ManEst      1       1          D2A       54.76    225.00       35.60
  2     31  PMG-SL  ManEst      1       1          D2B       50.26    260.00       31.10
  2     32  PMG-SL  ManEst      1       1          D2A       52.91    335.00       33.74
  2     33  PMG-SL  ManEst      2       1          D2B       53.26    290.00       33.77
  2     34  PMG-SL  ManEst      2       1          D1A       57.53    330.00       38.04
  2     35  PMG-SL  ManEst      2       1          D1A       53.22    260.00       33.73
  2     36  PMG-SL  ManEst      2       1          D1B       55.72    340.00       36.22
  2     37  PMG-SL  ManEst      2       1          D2B       50.70    275.00       31.21
  2     38  PMG-SL  ManEst      2       1          D1B       50.99    330.00       31.50
  2     39  PMG-SL  ManEst      2       1          D1B       53.59    310.00       34.10
  2     40  PMG-SL  ManEst      2       1          D2B       57.17    380.00       37.67
  2     41  PMG-SL  ManEst      2       1          D1B       51.49    340.00       31.99
  2     42  PMG-SL  ManEst      2       1          D1B       49.84    305.00       30.34
  2     43  PMG-SL  ManEst      2       1          D2A       51.98    205.00       32.49
  2     44  PMG-SL  ManEst      2       1          D1A       52.74    320.00       33.24
  2     45  PMG-SL  ManEst      2       1          D1A       58.33    465.00       38.83
  2     46  PMG-SL  ManEst      2       1          D2B       59.65    285.00       40.15
  2     47  PMG-SL  ManEst      2       1          D1B       55.05    345.00       35.55
  2     48  PMG-SL  ManEst      2       1          D1A       55.42    390.00       35.93
  2     49  PMG-SL  ManEst      2       1          D1B       55.03    390.00       35.54
  2     50  PMG-SL  ManEst      2       1          D2A       56.75    310.00       37.26
  2     51  PMG-SL  ManEst      2       1          D1A       56.31    255.00       36.82
  2     52  PMG-SL  ManEst      2       1          D2B       52.40    325.00       32.91
  2     53  PMG-SL  ManEst      2       1          D2B       58.83    470.00       39.34
  2     54  PMG-SL  ManEst      2       1          D1A       57.40    490.00       37.90
  2     55  PMG-SL  ManEst      2       1          D2A       56.67    220.00       37.17
  2     56  PMG-SL  ManEst      2       1          D1A       56.78    495.00       37.28
  2     57  PMG-SL  ManEst      2       1          D1B       60.74    240.00       41.25
  2     58  PMG-SL  ManEst      2       1          D2A       57.83    285.00       38.33
